,pfx_x,pfx_z,launch_speed,release_speed,release_spin_rate,total_movement,strikeout,hbp_bb,home_run,pitch_type_CH,pitch_type_CS,pitch_type_CU,pitch_type_EP,pitch_type_FA,pitch_type_FC,pitch_type_FF,pitch_type_FO,pitch_type_FS,pitch_type_KC,pitch_type_KN,pitch_type_SI,pitch_type_SL,pitch_type_ST,pitch_type_SV
219,1.1913333333333334,0.5083333333333333,83.2,85.3,1831.6666666666667,1.2952520561222396,0.05027932960893855,0.0111731843575419,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0.9741379310344828,1.1475862068965517,81.6,83.0,2121.655172413793,1.5052902746445145,0.028225806451612902,0.024193548387096774,0.012096774193548387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,1.0120833333333332,0.6975000000000001,82.9,82.9,1659.2916666666667,1.2291537428699109,0.0684931506849315,0.0136986301369863,0.0273972602739726,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,1.3623684210526317,0.4051315789473684,76.6,87.5,1819.5657894736842,1.42133012032456,0.06844106463878327,0.019011406844106463,0.0038022813688212928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1.3302941176470586,1.0535294117647058,81.0,87.0,2067.529411764706,1.6969403822467226,0.016666666666666666,0.025,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,1.4382608695652173,0.1356521739130435,82.7,88.9,1932.6521739130435,1.4446438458006976,0.08035714285714286,0.017857142857142856,0.008928571428571428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,1.1026923076923079,0.29923076923076924,81.9,89.3,1819.6923076923076,1.142571388884837,0.026785714285714284,0.008928571428571428,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0.7092,0.34,86.0,84.4,1460.36,0.7864888047518541,0.006211180124223602,0.018633540372670808,0.012422360248447204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1.228108108108108,0.7467567567567567,85.2,84.7,1784.8108108108108,1.4373222251682976,0.019801980198019802,0.019801980198019802,0.009900990099009901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,1.1013513513513513,0.5856756756756757,78.0,88.6,1371.837837837838,1.2473936011546665,0.09302325581395349,0.011627906976744186,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
